humanGene	macaqueGene	marmosetGene	mouseGene	humanOrthNum	macaqueOrthNum	marmosetOrthNum	 mouseOrthNum
EN1	EN1	EN1	En1	1	1	1	1
NEFH	NEFH	NEFH	Nefh	1	1	1	1
CPLX1	CPLX1	CPLX1	Cplx1	1	1	1	1
KCTD12	KCTD12	KCTD12	Kctd12	1	1	1	1
TLX3	TLX3	TLX3	Tlx3	1	1	1	1
A1BG	ENSMFAG00000039186	A1BG	A1bg	1	1	1	1
A1CF	ENSMFAG00000035948	A1CF	A1cf	1	1	1	1
A2M	A2M	A2M	A2m	1	1	1	1
A3GALT2	A3GALT2	A3GALT2	A3galt2	1	1	1	1
A4GALT	A4GALT	ENSCJAG00000022137	A4galt	1	1	1	1
AACS	AACS	AACS	Aacs	1	1	1	1
AADAC	AADAC	AADAC	Aadac	1	1	1	1
AADACL2	AADACL2	AADACL2	Aadacl2	1	1	1	1
AADACL3	AADACL3	AADACL3	Aadacl3	1	1	1	1
AADAT	AADAT	AADAT	Aadat	1	1	1	1
AAGAB	AAGAB	AAGAB	Aagab	1	1	1	1
AAK1	AAK1	AAK1	Aak1	1	1	1	1
AAMP	AAMP	AAMP	Aamp	1	1	1	1
AANAT	AANAT	AANAT	Aanat	1	1	1	1
AAR2	AAR2	AAR2	Aar2	1	1	1	1
AARD	AARD	AARD	Aard	1	1	1	1
AARS	AARS	AARS	Aars	1	1	1	1
AASDH	AASDH	AASDH	Aasdh	1	1	1	1
AASDHPPT	AASDHPPT	AASDHPPT	Aasdhppt	1	1	1	1
AASS	AASS	AASS	Aass	1	1	1	1
AATF	AATF	AATF	Aatf	1	1	1	1
AATK	AATK	AATK	Aatk	1	1	1	1
ABAT	ABAT	ABAT	Abat	1	1	1	1
ABCA1	ABCA1	ABCA1	Abca1	1	1	1	1
ABCA12	ABCA12	ABCA12	Abca12	1	1	1	1
ABCA13	ABCA13	ABCA13	Abca13	1	1	1	1
ABCA2	ABCA2	ABCA2	Abca2	1	1	1	1
ABCA3	ABCA3	ABCA3	Abca3	1	1	1	1
ABCA4	ABCA4	ABCA4	Abca4	1	1	1	1
ABCA5	ABCA5	ABCA5	Abca5	1	1	1	1
ABCA6	ABCA6	ABCA6	Abca6	1	1	1	1
ABCA7	ABCA7	ABCA7	Abca7	1	1	1	1
ABCA8	ABCA8	ABCA8	Abca8b	1	1	1	1
ABCB11	ABCB11	ABCB11	Abcb11	1	1	1	1
ABCB5	ABCB5	ABCB5	Abcb5	1	1	1	1
ABCB6	ABCB6	ABCB6	Abcb6	1	1	1	1
ABCB7	ABCB7	ABCB7	Abcb7	1	1	1	1
ABCB8	ABCB8	ABCB8	Abcb8	1	1	1	1
ABCB9	ABCB9	ABCB9	Abcb9	1	1	1	1
ABCC10	ABCC10	ABCC10	Abcc10	1	1	1	1
ABCC2	ABCC2	ABCC2	Abcc2	1	1	1	1
ABCC3	ABCC3	ABCC3	Abcc3	1	1	1	1
ABCC4	ABCC4	ABCC4	Abcc4	1	1	1	1
ABCC5	ABCC5	ABCC5	Abcc5	1	1	1	1
ABCC6	ABCC6	ABCC6	Abcc6	1	1	1	1
ABCC8	ABCC8	ABCC8	Abcc8	1	1	1	1
ABCD1	ABCD1	ABCD1	Abcd1	1	1	1	1
ABCD2	ABCD2	ABCD2	Abcd2	1	1	1	1
ABCD3	ABCD3	ABCD3	Abcd3	1	1	1	1
ABCD4	ABCD4	ABCD4	Abcd4	1	1	1	1
ABCE1	ABCE1	ABCE1	Abce1	1	1	1	1
ABCF1	ABCF1	ABCF1	Abcf1	1	1	1	1
ABCF2	ABCF2	ABCF2	Abcf2	1	1	1	1
ABCF3	ABCF3	ABCF3	Abcf3	1	1	1	1
ABCG1	ABCG1	ABCG1	Abcg1	1	1	1	1
ABCG4	ABCG4	ABCG4	Abcg4	1	1	1	1
ABCG5	ABCG5	ABCG5	Abcg5	1	1	1	1
ABCG8	ABCG8	ABCG8	Abcg8	1	1	1	1
ABHD10	ABHD10	ABHD10	Abhd10	1	1	1	1
ABHD11	ABHD11	ABHD11	Abhd11	1	1	1	1
ABHD12	ABHD12	ABHD12	Abhd12	1	1	1	1
ABHD12B	ABHD12B	ABHD12B	Abhd12b	1	1	1	1
ABHD13	ABHD13	ABHD13	Abhd13	1	1	1	1
ABHD14B	ABHD14B	ABHD14B	Abhd14b	1	1	1	1
ABHD15	ABHD15	ABHD15	Abhd15	1	1	1	1
ABHD16A	ABHD16A	ABHD16A	Abhd16a	1	1	1	1
ABHD16B	ABHD16B	ABHD16B	Abhd16b	1	1	1	1
ABHD17A	ABHD17A	ABHD17A	Abhd17a	1	1	1	1
ABHD17B	ABHD17B	ABHD17B	Abhd17b	1	1	1	1
ABHD17C	ABHD17C	ABHD17C	Abhd17c	1	1	1	1
ABHD18	ABHD18	ABHD18	Abhd18	1	1	1	1
ABHD2	ABHD2	ABHD2	Abhd2	1	1	1	1
ABHD3	ABHD3	ABHD3	Abhd3	1	1	1	1
ABHD4	ABHD4	ABHD4	Abhd4	1	1	1	1
ABHD5	ABHD5	ABHD5	Abhd5	1	1	1	1
ABHD6	ABHD6	ABHD6	Abhd6	1	1	1	1
ABHD8	ABHD8	ABHD8	Abhd8	1	1	1	1
ABI1	ABI1	ABI1	Abi1	1	1	1	1
ABI2	ABI2	ABI2	Abi2	1	1	1	1
ABI3	ABI3	ABI3	Abi3	1	1	1	1
ABI3BP	ABI3BP	ENSCJAG00000000533	Abi3bp	1	1	1	1
ABL1	ABL1	ABL1	Abl1	1	1	1	1
ABL2	ABL2	ABL2	Abl2	1	1	1	1
ABLIM1	ABLIM1	ABLIM1	Ablim1	1	1	1	1
ABLIM2	ABLIM2	ABLIM2	Ablim2	1	1	1	1
ABLIM3	ABLIM3	ABLIM3	Ablim3	1	1	1	1
ABO	ABO	ENSCJAG00000017944	Abo	1	1	1	1
ABR	ABR	ENSCJAG00000021698	Abr	1	1	1	1
ABRA	ABRA	ABRA	Abra	1	1	1	1
ABRAXAS1	ABRAXAS1	ABRAXAS1	Abraxas1	1	1	1	1
ABRAXAS2	ABRAXAS2	ABRAXAS2	Abraxas2	1	1	1	1
ABT1	ABT1	ABT1	Abt1	1	1	1	1
ABTB1	ABTB1	ABTB1	Abtb1	1	1	1	1
ABTB2	ABTB2	ABTB2	Abtb2	1	1	1	1
AC004832.3	SEC14L2	ENSCJAG00000010447	Sec14l2	1	1	1	1
AC008982.1	ENSMFAG00000003935	HNRNPL	Hnrnpl	1	1	1	1
AC009163.2	ENSMFAG00000041367	TMEM231	Tmem231	1	1	1	1
AC010255.3	ENSMFAG00000003594	ENSCJAG00000017194	1700034E13Rik	1	1	1	1
AC010325.1	ENSMFAG00000025648	ENSCJAG00000035219	Gm15517	1	1	1	1
AC010616.1	ENSMFAG00000003731	ENSCJAG00000020277	Gm4881	1	1	1	1
AC020922.1	ENSMFAG00000044642	FAM71E2	Fam71e2	1	1	1	1
AC036214.3	ENSMFAG00000031459	TPD52	Tpd52	1	1	1	1
AC083800.1	ENSMFAG00000001925	ENSCJAG00000009123	4930435E12Rik	1	1	1	1
AC118553.2	ENSMFAG00000039865	ENSCJAG00000011507	Gm43191	1	1	1	1
AC119396.1	ENSMFAG00000042620	ENSCJAG00000008391	A430078G23Rik	1	1	1	1
ACAA2	ACAA2	ACAA2	Acaa2	1	1	1	1
ACACA	ACACA	ACACA	Acaca	1	1	1	1
ACACB	ACACB	ENSCJAG00000010041	Acacb	1	1	1	1
ACAD10	ACAD10	ACAD10	Acad10	1	1	1	1
ACAD11	ACAD11	ENSCJAG00000003027	Acad11	1	1	1	1
ACAD8	ACAD8	ACAD8	Acad8	1	1	1	1
ACAD9	ACAD9	ACAD9	Acad9	1	1	1	1
ACADL	ACADL	ACADL	Acadl	1	1	1	1
ACADM	ACADM	ACADM	Acadm	1	1	1	1
ACADS	ACADS	ACADS	Acads	1	1	1	1
ACADSB	ACADSB	ACADSB	Acadsb	1	1	1	1
ACADVL	ACADVL	ACADVL	Acadvl	1	1	1	1
ACAN	ACAN	ACAN	Acan	1	1	1	1
ACAP1	ACAP1	ACAP1	Acap1	1	1	1	1
ACAP2	ACAP2	ACAP2	Acap2	1	1	1	1
ACAP3	ACAP3	ACAP3	Acap3	1	1	1	1
ACAT1	ACAT1	ACAT1	Acat1	1	1	1	1
ACBD3	ACBD3	ACBD3	Acbd3	1	1	1	1
ACBD4	ACBD4	ACBD4	Acbd4	1	1	1	1
ACBD5	ACBD5	ACBD5	Acbd5	1	1	1	1
ACBD6	ACBD6	ACBD6	Acbd6	1	1	1	1
ACBD7	ACBD7	ACBD7	Acbd7	1	1	1	1
ACCS	ACCS	ACCS	Accs	1	1	1	1
ACD	ACD	ACD	Acd	1	1	1	1
ACE2	ACE2	ACE2	Ace2	1	1	1	1
ACER1	ACER1	ACER1	Acer1	1	1	1	1
ACER2	ACER2	ACER2	Acer2	1	1	1	1
ACER3	ACER3	ACER3	Acer3	1	1	1	1
ACHE	ACHE	ACHE	Ache	1	1	1	1
ACIN1	ACIN1	ACIN1	Acin1	1	1	1	1
ACKR1	ACKR1	ACKR1	Ackr1	1	1	1	1
ACKR2	ACKR2	ACKR2	Ackr2	1	1	1	1
ACKR3	ACKR3	ACKR3	Ackr3	1	1	1	1
ACKR4	ACKR4	ACKR4	Ackr4	1	1	1	1
ACLY	ACLY	ACLY	Acly	1	1	1	1
ACMSD	ACMSD	ACMSD	Acmsd	1	1	1	1
ACO1	ACO1	ACO1	Aco1	1	1	1	1
ACOD1	ACOD1	ACOD1	Acod1	1	1	1	1
ACOT11	ACOT11	ACOT11	Acot11	1	1	1	1
ACOT12	ACOT12	ACOT12	Acot12	1	1	1	1
ACOT13	ACOT13	ACOT13	Acot13	1	1	1	1
ACOT4	ACOT4	ACOT4	Acot4	1	1	1	1
ACOT6	ACOT6	ENSCJAG00000037095	Acot6	1	1	1	1
ACOT8	ACOT8	ACOT8	Acot8	1	1	1	1
ACOX1	ACOX1	ACOX1	Acox1	1	1	1	1
ACOX2	ACOX2	ACOX2	Acox2	1	1	1	1
ACOX3	ACOX3	ACOX3	Acox3	1	1	1	1
ACOXL	ENSMFAG00000036885	ENSCJAG00000032067	Acoxl	1	1	1	1
ACP2	ACP2	ACP2	Acp2	1	1	1	1
ACP4	ACP4	ACP4	Acp4	1	1	1	1
ACP5	ACP5	ACP5	Acp5	1	1	1	1
ACP6	ACP6	ACP6	Acp6	1	1	1	1
ACP7	ACP7	ACP7	Acp7	1	1	1	1
ACPP	ACPP	ACPP	Acpp	1	1	1	1
ACR	ACR	ACR	Acr	1	1	1	1
ACRBP	ACRBP	ACRBP	Acrbp	1	1	1	1
ACRV1	ACRV1	ACRV1	Acrv1	1	1	1	1
ACSBG1	ACSBG1	ACSBG1	Acsbg1	1	1	1	1
ACSBG2	ACSBG2	ACSBG2	Acsbg2	1	1	1	1
ACSF2	ACSF2	ACSF2	Acsf2	1	1	1	1
ACSF3	ACSF3	ACSF3	Acsf3	1	1	1	1
ACSL1	ACSL1	ACSL1	Acsl1	1	1	1	1
ACSL3	ACSL3	ACSL3	Acsl3	1	1	1	1
ACSL4	ACSL4	ACSL4	Acsl4	1	1	1	1
ACSL5	ACSL5	ACSL5	Acsl5	1	1	1	1
ACSM3	ACSM3	ACSM3	Acsm3	1	1	1	1
ACSM4	ACSM4	ACSM4	Acsm4	1	1	1	1
ACSM5	ACSM5	ACSM5	Acsm5	1	1	1	1
ACSS1	ACSS1	ACSS1	Acss1	1	1	1	1
ACSS2	ACSS2	ACSS2	Acss2	1	1	1	1
ACSS3	ACSS3	ACSS3	Acss3	1	1	1	1
ACTA1	ACTA1	ACTA1	Acta1	1	1	1	1
ACTB	ACTB	ENSCJAG00000020675	Actb	1	1	1	1
ACTBL2	ACTBL2	ACTBL2	Actbl2	1	1	1	1
ACTC1	ACTC1	ACTC1	Actc1	1	1	1	1
ACTG1	ACTG1	ENSCJAG00000022038	Actg1	1	1	1	1
ACTG2	ACTG2	ACTG2	Actg2	1	1	1	1
ACTL10	ACTL10	ACTL10	Actl10	1	1	1	1
ACTL6A	ACTL6A	ACTL6A	Actl6a	1	1	1	1
ACTL6B	ACTL6B	ACTL6B	Actl6b	1	1	1	1
ACTN1	ACTN1	ACTN1	Actn1	1	1	1	1
ACTN2	ACTN2	ACTN2	Actn2	1	1	1	1
ACTN3	ACTN3	ACTN3	Actn3	1	1	1	1
ACTN4	ACTN4	ACTN4	Actn4	1	1	1	1
ACTR10	ACTR10	ACTR10	Actr10	1	1	1	1
ACTR1A	ACTR1A	ACTR1A	Actr1a	1	1	1	1
ACTR1B	ACTR1B	ACTR1B	Actr1b	1	1	1	1
ACTR2	ENSMFAG00000044097	ACTR2	Actr2	1	1	1	1
ACTR3	ACTR3	ACTR3	Actr3	1	1	1	1
ACTR3B	ACTR3B	ACTR3B	Actr3b	1	1	1	1
ACTR5	ACTR5	ACTR5	Actr5	1	1	1	1
ACTR6	ACTR6	ACTR6	Actr6	1	1	1	1
ACTR8	ACTR8	ACTR8	Actr8	1	1	1	1
ACTRT1	ACTRT1	ACTRT1	Actrt1	1	1	1	1
ACTRT3	ACTRT3	ACTRT3	Actrt3	1	1	1	1
ACVR1	ACVR1	ACVR1	Acvr1	1	1	1	1
ACVR1B	ACVR1B	ACVR1B	Acvr1b	1	1	1	1
ACVR1C	ACVR1C	ACVR1C	Acvr1c	1	1	1	1
ACVR2A	ACVR2A	ACVR2A	Acvr2a	1	1	1	1
ACVR2B	ACVR2B	ACVR2B	Acvr2b	1	1	1	1
ACVRL1	ACVRL1	ACVRL1	Acvrl1	1	1	1	1
ACY3	ACY3	ACY3	Acy3	1	1	1	1
ACYP1	ENSMFAG00000042252	ACYP1	Acyp1	1	1	1	1
ACYP2	ACYP2	ENSCJAG00000010291	Acyp2	1	1	1	1
ADAD1	ADAD1	ADAD1	Adad1	1	1	1	1
ADAD2	ADAD2	ADAD2	Adad2	1	1	1	1
ADAL	ADAL	ADAL	Adal	1	1	1	1
ADAM10	ADAM10	ADAM10	Adam10	1	1	1	1
ADAM11	ADAM11	ADAM11	Adam11	1	1	1	1
ADAM12	ADAM12	ADAM12	Adam12	1	1	1	1
ADAM15	ADAM15	ADAM15	Adam15	1	1	1	1
ADAM17	ADAM17	ADAM17	Adam17	1	1	1	1
ADAM18	ADAM18	ADAM18	Adam18	1	1	1	1
ADAM19	ADAM19	ADAM19	Adam19	1	1	1	1
ADAM2	ADAM2	ADAM2	Adam2	1	1	1	1
ADAM22	ADAM22	ADAM22	Adam22	1	1	1	1
ADAM23	ADAM23	ADAM23	Adam23	1	1	1	1
ADAM28	ADAM28	ADAM28	Adam28	1	1	1	1
ADAM32	ADAM32	ADAM32	Adam32	1	1	1	1
ADAM33	ADAM33	ADAM33	Adam33	1	1	1	1
ADAM7	ADAM7	ADAM7	Adam7	1	1	1	1
ADAM8	ADAM8	ADAM8	Adam8	1	1	1	1
ADAM9	ADAM9	ADAM9	Adam9	1	1	1	1
ADAMDEC1	ADAMDEC1	ADAMDEC1	Adamdec1	1	1	1	1
ADAMTS1	ADAMTS1	ADAMTS1	Adamts1	1	1	1	1
ADAMTS10	ADAMTS10	ADAMTS10	Adamts10	1	1	1	1
ADAMTS12	ADAMTS12	ADAMTS12	Adamts12	1	1	1	1
ADAMTS13	ADAMTS13	ADAMTS13	Adamts13	1	1	1	1
ADAMTS14	ADAMTS14	ADAMTS14	Adamts14	1	1	1	1
ADAMTS15	ADAMTS15	ADAMTS15	Adamts15	1	1	1	1
ADAMTS16	ADAMTS16	ADAMTS16	Adamts16	1	1	1	1
